ECU_ID,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,模糊类型
0x235,0xb,0x83,0x4c,0x0,0xa0,0x30,0x0,0x80
0x245,0x84,0x0,0xc1,0x0,0xf0,0x70,0x0,0x40
0x505,0x7,0x12,0x45,0x0,0x90,0xb0,0x0,0x30
0x460,0x1,0xc0,0x41,0x0,0xc0,0x60,0x0,0x40
0x225,0xfa,0x81,0xac,0x0,0x13,0x40,0x0,0x0
0x210,0x48,0xc,0x2f,0x0,0x50,0x20,0x0,0xa0
0x265,0x8,0x10,0xd6,0x0,0xe0,0xb0,0x0,0xc0
0x275,0x6b,0x0,0x35,0x0,0x0,0x90,0x0,0x80
0x433,0x7,0x1,0xff,0x5,0xb0,0x20,0x0,0x0
0x255,0x87,0x0,0x34,0x0,0x10,0x50,0x0,0xb0
0x285,0x2b,0x21,0x9,0x0,0x40,0x20,0x0,0x0
0x201,0x0,0xbd,0x3a,0x35,0x40,0x50,0x0,0xcf
0x428,0x4f,0x86,0x7f,0x4a,0x80,0x60,0x0,0xc0
0x420,0x7c,0xc2,0x96,0x65,0xf9,0x40,0x28,0x81
0x265,0xb,0x10,0x7b,0x0,0x80,0xe0,0x0,0xd0
0x235,0x8,0x83,0x65,0x0,0x50,0x60,0x0,0x70
0x245,0x83,0x0,0xac,0x0,0x60,0xb0,0x0,0x50
0x506,0xb,0x12,0x97,0x0,0x10,0x80,0x0,0x90
0x23,0x43,0x0,0x1f,0x0,0x40,0xd0,0x0,0xb0
0x460,0xf,0xc0,0x43,0x0,0x70,0xa0,0x0,0xa0
0x225,0xf7,0x81,0x15,0x0,0xc3,0x70,0x0,0x40
0x210,0x46,0xc,0x6b,0x0,0x90,0x80,0x0,0x60
0x265,0x0,0x10,0x0,0x0,0x20,0x50,0x0,0x70
0x275,0x86,0x0,0xaf,0x0,0xa0,0xe0,0x0,0x60
0x433,0x8,0x1,0x49,0x5,0x20,0x70,0x0,0xa0
0x255,0x8e,0x0,0x44,0x0,0x70,0xc0,0x0,0x30
0x4f2,0x5,0xb4,0x40,0x57,0xc0,0x90,0x0,0x50
0x285,0x24,0x21,0x2a,0x0,0x90,0xa0,0x0,0x40
0x4d7,0x1d,0x2,0xaa,0x0,0x90,0x10,0x0,0x60
0x201,0xa,0xbc,0x19,0xd9,0x70,0xb0,0x0,0x7f
0x428,0x4c,0x86,0xf9,0x4a,0xe0,0xf0,0x0,0x10
0x420,0x71,0xc2,0xdd,0x65,0x99,0xc0,0x28,0x5e
0x265,0x9,0x10,0xdd,0x0,0x20,0x0,0x0,0xe0
0x235,0xd,0x83,0xa7,0x0,0x40,0x40,0x0,0x30
0x245,0x81,0x0,0x18,0x0,0x50,0xa0,0x0,0xf0
0x507,0x14,0x12,0x45,0x0,0x70,0xa0,0x0,0x80
0x460,0xa,0xc0,0x53,0x0,0x50,0x70,0x0,0x60
0x225,0xfc,0x81,0x31,0x0,0x13,0xe0,0x0,0x30
0x210,0x42,0xc,0x63,0x0,0xb0,0x0,0x0,0xa0
0x265,0x8,0x10,0x4f,0x0,0x90,0xb0,0x0,0xf0
