ECU_ID,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,模糊类型
0x0,0xb0,0x6,0xd,0x60,0xf,0xf0,0x5,0xf0
0x0,0xa0,0xe,0x7,0x0,0xb,0xa0,0xa,0x40
0x0,0xa0,0xe,0x7,0x30,0x1,0x50,0x0,0x80
0x0,0x30,0x6,0xe,0xe0,0xe,0x10,0xf,0x0
0x0,0x0,0xb,0x7,0xa0,0x0,0xe0,0x9,0x0
0x0,0xd0,0xf,0x4,0x20,0x6,0x40,0xd,0x0
0x0,0xc0,0x5,0xa,0xb0,0xf,0x20,0xd,0x0
0x0,0xe0,0xd,0x9,0x10,0x9,0x0,0xd,0x80
0x0,0xb0,0x1,0xf,0x60,0xf,0x70,0x1,0x20
0x0,0xf0,0x9,0x7,0x30,0xe,0x40,0x4,0x10
0x0,0xb0,0x5,0xe,0x80,0x6,0xb0,0x3,0x90
0x0,0xd0,0x8,0xb,0x30,0xe,0x10,0x5,0x40
0x0,0x10,0x5,0x0,0xa0,0xd,0x20,0xb,0x90
0x0,0xe0,0x4,0x6,0xe0,0x1,0xc0,0x8,0x10
0x0,0x30,0xd,0xf,0x80,0xb,0x20,0x4,0x60
